test_id,file,case_index,type,algorithm,expected,result,status,assertion_count,assertions,error_count,duration_ms,mismatch,factors,partition,partition_key
TC-01-REG-0011-IT,01_integer_signed_instant.sql.gz,11,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1984,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=LAST",,
TC-01-REG-0012-IT,01_integer_signed_instant.sql.gz,12,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2101,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NOT_NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0013-IT,01_integer_signed_instant.sql.gz,13,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2244,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=CONSTANT_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0014-IT,01_integer_signed_instant.sql.gz,14,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2253,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0015-IT,01_integer_signed_instant.sql.gz,15,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2143,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NOT_NULL_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0016-IT,01_integer_signed_instant.sql.gz,16,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2335,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=INVISIBLE, target_position=MIDDLE",,
TC-01-REG-0017-IT,01_integer_signed_instant.sql.gz,17,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,355,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S0, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0018-IT,01_integer_signed_instant.sql.gz,18,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1245,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S1, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0019-IT,01_integer_signed_instant.sql.gz,19,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2002,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=UNIFORM, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0020-IT,01_integer_signed_instant.sql.gz,20,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1835,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=MONOTONIC, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0021-IT,01_integer_signed_instant.sql.gz,21,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2007,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=ZERO, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0022-IT,01_integer_signed_instant.sql.gz,22,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2243,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=SINGLE, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0023-IT,01_integer_signed_instant.sql.gz,23,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1470,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=ALL, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0024-IT,01_integer_signed_instant.sql.gz,24,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,0,2212,NEG_REJECTED=PASS: t1_added=1 t2_added=1 expect=t1_added = t2_added (非 STRICT: 截断行为必须与对照表一致) sql_mode= | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=NON_STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0025-IT,01_integer_signed_instant.sql.gz,25,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,442,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S0, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NOT_NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0026-IT,01_integer_signed_instant.sql.gz,26,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,435,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=UNIFORM, data_scale=S0, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0027-IT,01_integer_signed_instant.sql.gz,27,TINYINT -> SMALLINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,367,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S0, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NOT_NULL_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0028-IT,01_integer_signed_instant.sql.gz,28,TINYINT -> SMALLINT,instant,FAIL,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,13,1712,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=COMPOSITE_PK, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=FIRST",,
TC-01-ATR-0001-IT,01_integer_signed_instant.sql.gz,29,TINYINT -> SMALLINT,instant,,PASS,PASS,1,PRIMARY=PASS,0,499,PRIMARY=PASS,,,
TC-01-REG-0029-IT,01_integer_signed_instant.sql.gz,30,TINYINT -> MEDIUMINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1830,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0030-IT,01_integer_signed_instant.sql.gz,31,TINYINT -> MEDIUMINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2169,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=COMPACT, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0031-IT,01_integer_signed_instant.sql.gz,32,TINYINT -> MEDIUMINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,1995,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=REDUNDANT, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0032-IT,01_integer_signed_instant.sql.gz,33,TINYINT -> MEDIUMINT,instant,FAIL,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,13,2083,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=COMPOSITE_PK, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0033-IT,01_integer_signed_instant.sql.gz,34,TINYINT -> MEDIUMINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2183,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=ONE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=NO_EXPLICIT_PK, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0034-IT,01_integer_signed_instant.sql.gz,35,TINYINT -> MEDIUMINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2278,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=NONE, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
TC-01-REG-0035-IT,01_integer_signed_instant.sql.gz,36,TINYINT -> MEDIUMINT,instant,SUCCESS,PASS,PASS,4,NEG_REJECTED=PASS;PRIMARY=PASS;NEG_ERRNO#1=PASS;NEG_ERRNO#2=PASS,2,2224,NEG_REJECTED=PASS: t1_added=0 t2_added=0 expect=0 (STRICT: 超限值必须被拒绝) sql_mode=STRICT_TRANS_TABLES | PRIMARY=PASS | NEG_ERRNO#1=PASS | NEG_ERRNO#2=PASS,"data_distribution=TYPE_BOUNDARIES, data_scale=S100, dependencies=NONE, non_target_index=MULTIPLE_SECONDARY, null_ratio=TEN_PERCENT, primary_key=CLUSTERED, row_format=DYNAMIC, sql_mode=STRICT, target_attributes=NULL_NO_DEFAULT, target_position=MIDDLE",,
